   64     1   0.1522  0.0036    -41.246 0.317     29.724  0.205     
   65     1   0.1507  0.0038    -48.098 0.303     26.684  0.194     
   66     1   0.1428  0.0035    -40.472 0.314     30.053  0.202     
   67     1   0.1517  0.0035    -52.057 0.320     29.991  0.204     
   68     1   0.1522  0.0041    -60.337 0.310     24.060  0.162     
   69     1   0.1659  0.0041    -47.719 0.309     25.204  0.198     
   70     1   0.1568  0.0041    -50.040 0.312     26.937  0.200     
   71     1   0.1523  0.0037    -47.862 0.313     28.736  0.199     
   72     1   0.1477  0.0033    -38.961 0.316     31.376  0.205     
   73     1   0.1567  0.0041    -38.634 0.306     26.051  0.196     
   74     1   0.1459  0.0035    -41.422 0.314     28.058  0.202     
   75     1   0.1501  0.0035    -46.110 0.309     28.545  0.198     
   76     1   0.1529  0.0039    -56.634 0.233     24.153  0.129     
   77     1   0.1498  0.0035    -45.491 0.316     28.451  0.202     
   78     1   0.1522  0.0038    -42.002 0.317     29.205  0.203     
   79     1   0.1559  0.0038    -64.531 0.338     27.222  0.177     
   80     1   0.1500  0.0035    -39.564 0.318     31.424  0.205     
   81     1   0.1528  0.0036    -50.911 0.325     29.654  0.207     
   82     1   0.1471  0.0031    -46.006 0.341     34.890  0.220     
   83     1   0.1588  0.0039    -45.639 0.309     27.592  0.199     
   84     1   0.1449  0.0036    -46.395 0.327     31.533  0.208     
   85     1   0.1511  0.0036    -44.054 0.319     28.810  0.204     
   86     1   0.1704  0.0042    -45.122 0.307     24.605  0.194     
   87     1   0.1592  0.0036    -37.490 0.298     25.911  0.192     
   88     1   0.1572  0.0041    -42.820 0.313     26.301  0.198     
   89     1   0.1541  0.0039    -45.543 0.307     27.661  0.196     
   90     1   0.1628  0.0041    -44.456 0.295     24.381  0.190     
   91     1   0.1465  0.0040    -50.186 0.320     29.095  0.204     
   92     1   0.1536  0.0037    -41.930 0.321     31.332  0.207     
   93     1   0.1470  0.0035    -40.797 0.320     29.403  0.205     
   94     1   0.1567  0.0035    -40.635 0.314     30.255  0.203     
   95     1   0.1555  0.0036    -41.591 0.319     30.159  0.205     
   96     1   0.1583  0.0041    -45.621 0.305     25.309  0.195     
   97     1   0.1612  0.0036    -44.750 0.318     27.924  0.205     
   98     1   0.1563  0.0038    -44.156 0.318     28.852  0.204     
   99     1   0.1485  0.0033    -40.220 0.329     31.504  0.212     
  100     1   0.1485  0.0036    -48.294 0.331     31.928  0.212     
  101     1   0.1616  0.0038    -54.246 0.317     25.058  0.200     
  102     1   0.1584  0.0040    -42.664 0.317     28.197  0.205     
  103     1   0.1596  0.0042    -45.833 0.330     28.342  0.211     
  104     1   0.1623  0.0035    -47.076 0.324     29.977  0.208     
  105     1   0.1530  0.0038    -41.548 0.313     27.568  0.200     
  106     1   0.1627  0.0038    -56.081 0.319     28.645  0.202     
  107     1   0.1707  0.0042    -43.882 0.302     24.326  0.194     
  108     1   0.1490  0.0034    -46.282 0.327     30.099  0.208     
  109     1   0.1429  0.0034    -43.039 0.331     33.335  0.214     
  110     1   0.1581  0.0038    -51.823 0.322     28.534  0.206     
  111     1   0.1456  0.0032    -44.512 0.324     31.813  0.208     
  112     1   0.1714  0.0034    -51.021 0.382     36.587  0.247     
  113     1   0.1439  0.0033    -41.990 0.323     30.530  0.207     
  114     1   0.1534  0.0036    -43.936 0.321     29.719  0.206     
  115     1   0.1644  0.0036    -47.829 0.321     28.230  0.204     
  116     1   0.1599  0.0038    -46.621 0.310     25.198  0.196     
  117     1   0.1532  0.0038    -44.649 0.316     26.752  0.203     
  118     1   0.1734  0.0047    -43.846 0.305     23.810  0.194     
  119     1   0.1592  0.0042    -42.489 0.295     24.834  0.190     
  120     1   0.1526  0.0029    -55.820 0.375     38.616  0.248     
  121     1   0.1501  0.0033    -51.359 0.339     32.078  0.216     
  122     1   0.1542  0.0039    -42.114 0.321     28.260  0.206     
  123     1   0.1553  0.0037    -46.993 0.325     29.141  0.208     
  124     1   0.1541  0.0036    -44.463 0.309     26.379  0.197     
  125     1   0.1606  0.0038    -43.508 0.324     30.499  0.209     
  126     1   0.1671  0.0041    -41.021 0.304     24.890  0.196     
  127     1   0.1474  0.0033    -42.597 0.331     33.427  0.214     
